link,location,no_checkins_all_time,no_users_all_time,monthly,beer_name,beer_stye,abv,ibu,beer_rating,raters,added,beer_link
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,Abbaye de Saint Bon-Chien,Sour - Other,11% ABV,N/A IBU,(4.17),"27,817 Ratings",Added 10/07/12,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-abbaye-de-saint-bon-chien/241957
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,√225 Saison,Farmhouse Ale - Saison,6% ABV,18 IBU,(3.89),"21,837 Ratings",Added 11/28/12,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-225-saison/270389
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,Cuvée Alex Le Rouge,Stout - Russian Imperial,10.276% ABV,N/A IBU,(3.82),"8,739 Ratings",Added 11/08/13,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-cuvee-alex-le-rouge/498792
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,La Salamandre,Bière de Garde,5.5% ABV,N/A IBU,(3.53),"4,148 Ratings",Added 11/04/11,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-la-salamandre/95382
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,La Meule,Blonde Ale,6% ABV,2 IBU,(3.54),"3,825 Ratings",Added 12/18/10,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-la-meule/15347
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,La Torpille,Brown Ale - Other,7.5% ABV,N/A IBU,(3.62),"3,600 Ratings",Added 12/26/10,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-la-torpille/17686
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,Douze,Sour - Gose,6.5% ABV,N/A IBU,(3.61),"2,720 Ratings",Added 12/26/10,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-douze/17477
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,Bière Ambrée parfumée au Tarry Suchong (BATS),Smoked Beer,6% ABV,N/A IBU,(3.64),"2,630 Ratings",Added 11/21/10,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-biere-ambree-parfumee-au-tarry-suchong-bats/10366
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,La Mandragore,Stout - Other,8% ABV,N/A IBU,(3.75),"2,232 Ratings",Added 07/15/13,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-la-mandragore/406470
https://untappd.com/brewery/4719,"Saignelégier, Jura Switzerland","179,382","77,977",487,XIV,Bock - Weizenbock,7.5% ABV,N/A IBU,(3.58),"1,691 Ratings",Added 02/29/12,https://untappd.com/b/brasserie-des-franches-montagnes-bfm-xiv/138985
