name,country,kind,no_beers,no_ratings,rating,link,date_brewery
Brasserie des Franches-Montagnes (BFM),Switzerland,Micro Brewery,162 Beers,"138,634 Ratings",(3.97),https://untappd.com/brewery/4719,01/04/2020 10:18:05
Feldschlösschen,Switzerland,Macro Brewery,64 Beers,"83,339 Ratings",(3),https://untappd.com/brewery/3058,01/04/2020 10:18:06
Brauerei Locher,Switzerland,Regional Brewery,98 Beers,"62,204 Ratings",(3.26),https://untappd.com/brewery/217,01/04/2020 10:18:06
Trois Dames,Switzerland,Micro Brewery,85 Beers,"55,938 Ratings",(3.73),https://untappd.com/brewery/4720,01/04/2020 10:18:06
WhiteFrontier,Switzerland,Micro Brewery,120 Beers,"43,758 Ratings",(3.6),https://untappd.com/brewery/185140,01/04/2020 10:18:07
Doppelleu Brauwerkstatt,Switzerland,Regional Brewery,30 Beers,"34,363 Ratings",(3.43),https://untappd.com/brewery/62434,01/04/2020 10:18:07
Brauerei Eichhof,Switzerland,Macro Brewery,26 Beers,"20,519 Ratings",(3.08),https://untappd.com/brewery/51157,01/04/2020 10:18:07
La Nébuleuse,Switzerland,Micro Brewery,97 Beers,"17,050 Ratings",(3.6),https://untappd.com/brewery/113757,01/04/2020 10:18:07
Valaisanne,Switzerland,Macro Brewery,16 Beers,"15,841 Ratings",(3.32),https://untappd.com/brewery/30599,01/04/2020 10:18:08
Calanda,Switzerland,Macro Brewery,15 Beers,"14,837 Ratings",(2.93),https://untappd.com/brewery/153316,01/04/2020 10:18:08
Brasserie Docteur Gab's,Switzerland,Micro Brewery,41 Beers,"14,803 Ratings",(3.5),https://untappd.com/brewery/24460,01/04/2020 10:18:08
Schützengarten,Switzerland,Regional Brewery,35 Beers,"14,326 Ratings",(3.22),https://untappd.com/brewery/2363,01/04/2020 10:18:08
Rugenbräu,Switzerland,Regional Brewery,24 Beers,"13,058 Ratings",(3.18),https://untappd.com/brewery/25444,01/04/2020 10:18:09
Heineken (Switzerland),Switzerland,Macro Brewery,12 Beers,"11,891 Ratings",(3.06),https://untappd.com/brewery/170759,01/04/2020 10:18:09
Bier Factory BREWERY & TAPROOM,Switzerland,Nano Brewery,40 Beers,"10,873 Ratings",(3.52),https://untappd.com/brewery/13661,01/04/2020 10:18:09
Emdbräu,Switzerland,Contract Brewery,14 Beers,"10,245 Ratings",(2.37),https://untappd.com/brewery/399418,01/04/2020 10:18:09
Turbinenbräu,Switzerland,Micro Brewery,47 Beers,"10,172 Ratings",(3.29),https://untappd.com/brewery/7954,01/04/2020 10:18:10
Falken,Switzerland,Regional Brewery,41 Beers,"9,953 Ratings",(3.04),https://untappd.com/brewery/11742,01/04/2020 10:18:10
S&A Brewing,Switzerland,Contract Brewery,123 Beers,"9,624 Ratings",(3.77),https://untappd.com/brewery/24349,01/04/2020 10:18:10
Rosengarten,Switzerland,Regional Brewery,35 Beers,"8,293 Ratings",(3.22),https://untappd.com/brewery/11919,01/04/2020 10:18:10
Kitchen Brew,Switzerland,Micro Brewery,30 Beers,"7,544 Ratings",(3.48),https://untappd.com/brewery/73963,01/04/2020 10:18:11
Hoppy People,Switzerland,Micro Brewery,31 Beers,"7,448 Ratings",(3.65),https://untappd.com/brewery/175325,01/04/2020 10:18:11
Fischerstube,Switzerland,Brew Pub,48 Beers,"7,006 Ratings",(3.35),https://untappd.com/brewery/52958,01/04/2020 10:18:11
Bière du Boxer,Switzerland,Regional Brewery,12 Beers,"6,946 Ratings",(3.14),https://untappd.com/brewery/10453,01/04/2020 10:18:11
Altes Tramdepot,Switzerland,Brew Pub,143 Beers,"6,926 Ratings",(3.59),https://untappd.com/brewery/16862,01/04/2020 10:18:11
Felsenau,Switzerland,Regional Brewery,18 Beers,6896 Ratings,(3.371),https://untappd.com/brewery/11949,01/04/2020 10:18:12
Blackwell Brewery,Switzerland,Nano Brewery,34 Beers,6795 Ratings,(3.643),https://untappd.com/brewery/161930,01/04/2020 10:18:12
Birrificio San Martino,Switzerland,Nano Brewery,17 Beers,6354 Ratings,(3.366),https://untappd.com/brewery/291029,01/04/2020 10:18:12
Müller Bräu,Switzerland,Regional Brewery,31 Beers,6340 Ratings,(3.126),https://untappd.com/brewery/34004,01/04/2020 10:18:12
Ticino Brewing Company,Switzerland,Micro Brewery,0 Beer,6087 Ratings,(3.434),https://untappd.com/brewery/32881,01/04/2020 10:18:13
Unser Bier,Switzerland,Micro Brewery,87 Beers,5995 Ratings,(3.355),https://untappd.com/brewery/4178,01/04/2020 10:18:13
À tue-tête,Switzerland,Nano Brewery,19 Beers,5846 Ratings,(3.908),https://untappd.com/brewery/343928,01/04/2020 10:18:13
Brauerei Baar,Switzerland,Micro Brewery,27 Beers,5587 Ratings,(3.351),https://untappd.com/brewery/35602,01/04/2020 10:18:13
523,Switzerland,Nano Brewery,0 Beer,5518 Ratings,(4.018),https://untappd.com/brewery/115091,01/04/2020 10:18:14
BierVision Monstein,Switzerland,Nano Brewery,21 Beers,5398 Ratings,(3.16),https://untappd.com/brewery/12201,01/04/2020 10:18:14
Erusbacher & Paul AG,Switzerland,Micro Brewery,27 Beers,5065 Ratings,(3.274),https://untappd.com/brewery/7212,01/04/2020 10:18:14
Kloster Fischingen,Switzerland,Nano Brewery,31 Beers,5029 Ratings,(3.555),https://untappd.com/brewery/210208,01/04/2020 10:18:14
Ramseier Suisse,Switzerland,Regional Brewery,32 Beers,5007 Ratings,(2.961),https://untappd.com/brewery/9618,01/04/2020 10:18:15
Officina Della Birra,Switzerland,Micro Brewery,28 Beers,4751 Ratings,(3.504),https://untappd.com/brewery/84596,01/04/2020 10:18:15
Brauerei Uster,Switzerland,Micro Brewery,21 Beers,4537 Ratings,(3.232),https://untappd.com/brewery/18552,01/04/2020 10:18:15
Frères Papinot,Switzerland,Contract Brewery,9 Beers,4464 Ratings,(3.337),https://untappd.com/brewery/67191,01/04/2020 10:18:15
Bieraria Tschlin,Switzerland,Nano Brewery,21 Beers,4406 Ratings,(3.251),https://untappd.com/brewery/20586,01/04/2020 10:18:16
Brauerei Adler,Switzerland,Micro Brewery,19 Beers,4264 Ratings,(3.332),https://untappd.com/brewery/24328,01/04/2020 10:18:16
Dr. Brauwolf,Switzerland,Nano Brewery,31 Beers,4075 Ratings,(3.423),https://untappd.com/brewery/352698,01/04/2020 10:18:16
Sonnenbräu,Switzerland,Regional Brewery,31 Beers,3874 Ratings,(3.177),https://untappd.com/brewery/12918,01/04/2020 10:18:17
Egger Bier Worb,Switzerland,Regional Brewery,34 Beers,3742 Ratings,(3.247),https://untappd.com/brewery/17156,01/04/2020 10:18:17
LägereBräu,Switzerland,Micro Brewery,32 Beers,3742 Ratings,(3.438),https://untappd.com/brewery/119556,01/04/2020 10:18:17
7 Peaks,Switzerland,Nano Brewery,31 Beers,3647 Ratings,(3.393),https://untappd.com/brewery/147153,01/04/2020 10:18:17
Haarige Kuh Brauerei,Switzerland,Nano Brewery,25 Beers,3600 Ratings,(3.708),https://untappd.com/brewery/156172,01/04/2020 10:18:18
Sudwerk Brauerei,Switzerland,Nano Brewery,32 Beers,3598 Ratings,(3.408),https://untappd.com/brewery/14479,01/04/2020 10:18:18
Les Brasseurs,Switzerland,Brew Pub,31 Beers,3536 Ratings,(3.139),https://untappd.com/brewery/6894,01/04/2020 10:18:18
Cinq 4000,Switzerland,Nano Brewery,172 Beers,3460 Ratings,(3.882),https://untappd.com/brewery/98323,01/04/2020 10:18:19
Coop,Switzerland,Bar / Restaurant / Store,10 Beers,3268 Ratings,(2.484),https://untappd.com/brewery/89980,01/04/2020 10:18:19
